,Mkt-RF,SMB,HML,RF,
01/03/2005,-0.0097,-0.0062,-0.0005,0.00008,
01/04/2005,-0.013,-0.0059,0.0044,0.00008,
01/05/2005,-0.0051,-0.0111,0,0.00008,
01/06/2005,0.0034,-0.0014,0.0013,0.00008,
01/07/2005,-0.0022,-0.0076,-0.0002,0.00008,
01/10/2005,0.0042,0.0028,0.0004,0.00008,
01/11/2005,-0.0068,-0.0035,0.003,0.00008,
01/12/2005,0.0038,-0.0005,-0.0016,0.00008,
01/13/2005,-0.0077,0.0013,0.0038,0.00008,
01/14/2005,0.0066,0.0055,0.0007,0.00008,
01/18/2005,0.0097,0.0016,-0.0017,0.00008,
01/19/2005,-0.0097,-0.0013,0.0049,0.00008,
01/20/2005,-0.0077,-0.0012,-0.0005,0.00008,
01/21/2005,-0.0056,0.0029,0.0026,0.00008,
01/24/2005,-0.0049,-0.008,0.0062,0.00008,
01/25/2005,0.0034,0.002,-0.0037,0.00008,
01/26/2005,0.0062,0.0095,-0.0022,0.00008,
01/27/2005,0.0008,0.0017,0.0003,0.00008,
01/28/2005,-0.003,-0.0026,0.0018,0.00008,
01/31/2005,0.0097,0.0078,0.0016,0.00008,
02/01/2005,0.0069,-0.0008,0.0019,0.00009,
02/02/2005,0.0036,0.0025,0.0017,0.00009,
02/03/2005,-0.0027,-0.0017,0.004,0.00009,
02/04/2005,0.0112,0.0011,-0.0056,0.00009,
02/07/2005,-0.0011,0.0014,-0.0002,0.00009,
02/08/2005,0.0008,0.0024,-0.0017,0.00009,
02/09/2005,-0.01,-0.0118,0.0073,0.00009,
02/10/2005,0.0035,-0.0033,0.0005,0.00009,
02/11/2005,0.0077,0.0043,-0.0031,0.00009,
02/14/2005,0.0009,-0.0001,0.0013,0.00009,
02/15/2005,0.0028,-0.0036,-0.0001,0.00009,
02/16/2005,0.0007,0.0043,0.004,0.00009,
02/17/2005,-0.0079,-0.003,0.002,0.00009,
02/18/2005,0.0001,-0.0008,-0.0004,0.00009,
02/22/2005,-0.0147,-0.0031,-0.0012,0.00009,
02/23/2005,0.0053,-0.0013,0.0025,0.00009,
02/24/2005,0.0083,0.0024,-0.0023,0.00009,
02/25/2005,0.0097,0.0039,0.0038,0.00009,
02/28/2005,-0.0061,0.0027,0.0004,0.00009,
03/01/2005,0.0058,0.0011,0.0002,0.0001,
03/02/2005,-0.0001,-0.0018,0.0005,0.0001,
03/03/2005,-0.0001,0.0009,0.0055,0.0001,
03/04/2005,0.0089,-0.0003,0.0032,0.0001,
03/07/2005,0.0027,-0.0038,0,0.0001,
03/08/2005,-0.0054,-0.004,-0.0006,0.0001,
03/09/2005,-0.0096,0.0006,-0.0007,0.0001,
03/10/2005,0.0001,-0.0083,-0.0022,0.0001,
03/11/2005,-0.0055,0.0056,0.0052,0.0001,
03/14/2005,0.0061,-0.0022,0.0011,0.0001,
03/15/2005,-0.0067,0.002,0.0027,0.0001,
03/16/2005,-0.0084,0.0022,0.0011,0.0001,
03/17/2005,0.0019,0.0005,0.0052,0.0001,
03/18/2005,-0.0013,-0.0032,-0.0004,0.0001,
03/21/2005,-0.0038,0.0037,-0.002,0.0001,
03/22/2005,-0.0092,0.0069,-0.0012,0.0001,
03/23/2005,-0.0012,-0.0091,-0.0051,0.0001,
03/24/2005,0.0001,0.0045,-0.0008,0.0001,
03/28/2005,0.0015,-0.0023,-0.0003,0.0001,
03/29/2005,-0.0086,-0.0083,0.0007,0.0001,
03/30/2005,0.0135,0.0012,-0.0022,0.0001,
03/31/2005,0,-0.0005,0.0064,0.0001,
04/01/2005,-0.0064,0.0001,0.0043,0.0001,
04/04/2005,0.0029,0,0.0019,0.0001,
04/05/2005,0.004,-0.0014,-0.0025,0.0001,
04/06/2005,0.0022,-0.0011,0.0003,0.0001,
04/07/2005,0.0057,0.0001,-0.0017,0.0001,
04/08/2005,-0.0088,-0.0045,0.0004,0.0001,
04/11/2005,-0.0009,-0.0065,0.0003,0.0001,
04/12/2005,0.0056,0.0024,-0.0009,0.0001,
04/13/2005,-0.0122,-0.0034,-0.0017,0.0001,
04/14/2005,-0.011,-0.0056,-0.0026,0.0001,
04/15/2005,-0.0159,-0.0012,-0.0037,0.0001,
04/18/2005,0.0029,0.0032,0.0023,0.0001,
04/19/2005,0.0075,0.0083,0.0013,0.0001,
04/20/2005,-0.0135,-0.0023,0.0006,0.0001,
04/21/2005,0.0187,0.0032,-0.0056,0.0001,
04/22/2005,-0.0083,-0.0084,0.0043,0.0001,
04/25/2005,0.0093,0.0006,0,0.0001,
04/26/2005,-0.0088,-0.0052,-0.0013,0.0001,
04/27/2005,0.003,-0.0054,-0.0024,0.0001,
04/28/2005,-0.012,-0.0099,0.0037,0.0001,
04/29/2005,0.0104,-0.0039,-0.0003,0.0001,
05/02/2005,0.0052,0.0047,0.0006,0.00011,
05/03/2005,-0.0004,-0.0001,-0.0031,0.00011,
05/04/2005,0.0128,0.0027,0.0041,0.00011,
05/05/2005,-0.0019,0.003,-0.0039,0.00011,
05/06/2005,-0.0003,0.0033,0.0016,0.00011,
05/09/2005,0.0061,0.0031,-0.0004,0.00011,
05/10/2005,-0.0103,-0.0015,0.0001,0.00011,
05/11/2005,0.0039,-0.0041,-0.0013,0.00011,
05/12/2005,-0.0102,-0.0018,-0.0074,0.00011,
05/13/2005,-0.005,-0.0007,-0.0067,0.00011,
05/16/2005,0.0103,0.0049,-0.0018,0.00011,
05/17/2005,0.0066,-0.0023,0.0029,0.00011,
05/18/2005,0.0115,0.0095,-0.0027,0.00011,
05/19/2005,0.0047,-0.001,-0.0008,0.00011,
05/20/2005,-0.0013,-0.0004,0.0025,0.00011,
05/23/2005,0.0043,0.002,-0.0002,0.00011,
05/24/2005,0.0005,0.0001,0,0.00011,
05/25/2005,-0.0044,-0.0057,0.0019,0.00011,
05/26/2005,0.0074,0.0065,0.0008,0.00011,
05/27/2005,0.0018,0.001,0.0031,0.00011,
05/31/2005,-0.0049,0.0047,0.0028,0.00011,
06/01/2005,0.009,0.0018,-0.0001,0.0001,
06/02/2005,0.0024,0.0014,-0.0024,0.0001,
06/03/2005,-0.0067,-0.002,0.0048,0.0001,
06/06/2005,0.0014,0.0032,0.0013,0.0001,
06/07/2005,-0.0003,0.0015,0.0009,0.0001,
06/08/2005,-0.0028,-0.0039,0.0036,0.0001,
06/09/2005,0.0058,0.0031,-0.0012,0.0001,
06/10/2005,-0.0021,0.0011,0.0054,0.0001,
06/13/2005,0.0028,0.0014,0.0017,0.0001,
06/14/2005,0.0031,0.0049,0.0039,0.0001,
06/15/2005,0.0022,0.0023,0.0021,0.0001,
06/16/2005,0.0046,0.0063,-0.003,0.0001,
06/17/2005,0.0036,-0.006,0.002,0.0001,
06/20/2005,-0.0007,-0.0033,0.0009,0.0001,
06/21/2005,-0.0018,0.0011,-0.0005,0.0001,
06/22/2005,0.0005,0.0028,-0.001,0.0001,
06/23/2005,-0.0107,-0.0043,0.0013,0.0001,
06/24/2005,-0.0072,-0.0004,0.0012,0.0001,
06/27/2005,-0.0007,-0.0012,0.0055,0.0001,
06/28/2005,0.0105,0.0109,-0.0051,0.0001,
06/29/2005,-0.0007,0.003,0.0012,0.0001,
06/30/2005,-0.0063,0.002,0.0027,0.0001,
07/01/2005,0.0032,0.0011,0.003,0.00012,
07/05/2005,0.0092,0.0058,-0.0019,0.00012,
07/06/2005,-0.0073,0.0007,0.0007,0.00012,
07/07/2005,0.0026,-0.0011,-0.0024,0.00012,
07/08/2005,0.0121,0.0078,-0.0055,0.00012,
07/11/2005,0.0069,0.0078,-0.0013,0.00012,
07/12/2005,0.002,-0.0028,-0.0004,0.00012,
07/13/2005,0.0002,-0.0041,0.0007,0.00012,
07/14/2005,0.0014,-0.0066,-0.0044,0.00012,
07/15/2005,0.0012,-0.0003,-0.0003,0.00012,
07/18/2005,-0.0055,-0.0016,0.001,0.00012,
07/19/2005,0.0075,0.0091,-0.0011,0.00012,
07/20/2005,0.0054,0.0078,-0.0026,0.00012,
07/21/2005,-0.0074,-0.0061,0.0015,0.00012,
07/22/2005,0.0057,0.0094,0.0054,0.00012,
07/25/2005,-0.0047,-0.0052,0.0013,0.00012,
07/26/2005,0.0021,0.0028,0.0023,0.00012,
07/27/2005,0.0043,-0.0038,-0.0004,0.00012,
07/28/2005,0.0067,0.0053,-0.0018,0.00012,
07/29/2005,-0.0066,0.0024,0.0012,0.00012,
08/01/2005,0.0015,0.0027,-0.0012,0.00013,
08/02/2005,0.007,0.0005,0.0011,0.00013,
08/03/2005,-0.0002,-0.0066,-0.0004,0.00013,
08/04/2005,-0.0082,-0.0084,0.0035,0.00013,
08/05/2005,-0.0081,-0.0032,-0.0002,0.00013,
08/08/2005,-0.0032,0.0001,0.0025,0.00013,
08/09/2005,0.0055,-0.0048,-0.0007,0.00013,
08/10/2005,-0.0013,0.0002,0.0016,0.00013,
08/11/2005,0.0071,0.0019,-0.0008,0.00013,
08/12/2005,-0.0057,-0.0039,0.0011,0.00013,
08/15/2005,0.003,0.0047,-0.0013,0.00013,
08/16/2005,-0.0122,-0.0046,0.0017,0.00013,
08/17/2005,0.0005,0.0001,-0.0006,0.00013,
08/18/2005,-0.0015,-0.0043,0.0005,0.00013,
08/19/2005,0.0007,0.0007,0.0017,0.00013,
08/22/2005,0.0019,0.005,0.0015,0.00013,
08/23/2005,-0.0031,-0.0002,0.0001,0.00013,
08/24/2005,-0.0056,0.0046,0.0012,0.00013,
08/25/2005,0.0021,0.0013,0.002,0.00013,
08/26/2005,-0.0066,-0.0057,-0.001,0.00013,
08/29/2005,0.0065,0.0039,-0.0022,0.00013,
08/30/2005,-0.0031,-0.0003,0.0034,0.00013,
08/31/2005,0.011,0.0072,-0.0006,0.00013,
09/01/2005,0.0013,-0.0003,0.0025,0.00014,
09/02/2005,-0.0036,-0.0031,-0.0001,0.00014,
09/06/2005,0.0122,0.003,-0.0049,0.00014,
09/07/2005,0.003,0.0008,-0.0014,0.00014,
09/08/2005,-0.004,-0.0012,-0.0005,0.00014,
09/09/2005,0.0073,-0.001,0.0013,0.00014,
09/12/2005,0,0.0054,-0.0034,0.00014,
09/13/2005,-0.0076,-0.0021,0.0013,0.00014,
09/14/2005,-0.0044,-0.0067,0.0042,0.00014,
09/15/2005,-0.0002,-0.0026,0.003,0.00014,
09/16/2005,0.0072,0.0015,-0.001,0.00014,
09/19/2005,-0.0055,-0.0017,0.0022,0.00014,
09/20/2005,-0.0078,-0.0011,0.0004,0.00014,
09/21/2005,-0.0103,-0.0049,0.003,0.00014,
09/22/2005,0.003,-0.0007,-0.0023,0.00014,
09/23/2005,0.0015,0.0053,0.0019,0.00014,
09/26/2005,0.0012,0.0053,0.0006,0.00014,
09/27/2005,-0.0002,-0.0007,-0.0008,0.00014,
09/28/2005,0.0006,-0.006,0.0027,0.00014,
09/29/2005,0.0092,0.0021,0.0004,0.00014,
09/30/2005,0.002,0.0032,-0.0017,0.00014,
10/03/2005,0,0.0047,0.0002,0.00013,
10/04/2005,-0.0097,0.0022,-0.0019,0.00013,
10/05/2005,-0.0163,-0.0102,-0.0025,0.00013,
10/06/2005,-0.0057,-0.0034,0.0011,0.00013,
10/07/2005,0.0042,0.0032,0.0025,0.00013,
10/10/2005,-0.0073,-0.0007,-0.0022,0.00013,
10/11/2005,-0.0033,-0.0097,0.0014,0.00013,
10/12/2005,-0.0079,-0.0054,0.001,0.00013,
10/13/2005,-0.0009,0.0045,-0.0055,0.00013,
10/14/2005,0.0092,0.005,-0.001,0.00013,
10/17/2005,0.0029,-0.0034,0.0011,0.00013,
10/18/2005,-0.0103,-0.0002,-0.0013,0.00013,
10/19/2005,0.0145,0.0046,-0.0019,0.00013,
10/20/2005,-0.0144,0.0001,-0.0037,0.00013,
10/21/2005,0.0032,0.0038,0.0024,0.00013,
10/24/2005,0.017,0.0015,0.0029,0.00013,
10/25/2005,-0.003,-0.0032,0.0009,0.00013,
10/26/2005,-0.0046,-0.0023,0.0018,0.00013,
10/27/2005,-0.0124,-0.0104,0.0042,0.00013,
10/28/2005,0.0155,-0.0003,0.0026,0.00013,
10/31/2005,0.0096,0.008,0.0004,0.00013,
11/01/2005,-0.0027,-0.0023,0.0039,0.00015,
11/02/2005,0.0115,0.0084,0,0.00015,
11/03/2005,0.0043,-0.001,-0.0018,0.00015,
11/04/2005,0.0001,0.0006,-0.0028,0.00015,
11/07/2005,0.0025,0.0022,-0.0005,0.00015,
11/08/2005,-0.0037,-0.0034,-0.0004,0.00015,
11/09/2005,0.0015,0.0025,-0.0002,0.00015,
11/10/2005,0.008,-0.0007,-0.0059,0.00015,
11/11/2005,0.0027,-0.0003,-0.0012,0.00015,
11/14/2005,-0.001,-0.0034,0.0006,0.00015,
11/15/2005,-0.0049,-0.0065,-0.0017,0.00015,
11/16/2005,0.0011,-0.0035,0,0.00015,
11/17/2005,0.0106,0.0068,-0.0009,0.00015,
11/18/2005,0.0043,0.0027,-0.0016,0.00015,
11/21/2005,0.006,0.0043,-0.0035,0.00015,
11/22/2005,0.0048,-0.0004,-0.0001,0.00015,
11/23/2005,0.0031,-0.0027,0.0022,0.00015,
11/25/2005,0.0018,-0.0012,-0.0008,0.00015,
11/28/2005,-0.0101,-0.0071,0.0021,0.00015,
11/29/2005,0.0001,0.0028,0.0028,0.00015,
11/30/2005,-0.0043,0.0114,-0.0016,0.00015,
12/01/2005,0.0127,0.0052,0.0013,0.00015,
12/02/2005,0.0005,0.0006,-0.0014,0.00015,
